"","X","DOI","Title","trimmed_title","CombinedCites","CombinedAuthors","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","DOI_missing","CitationURL","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","Abstract","FullTextURL","RelatedURL"
"755",755,"MISSING_DOI_lockdown lives interrelationships amongst feelings","Lockdown Lives: Inter-relationships amongst feelings of loneliness, social contacts and solidarity during the COVID-19 lockdown.","lockdown lives interrelationships amongst feelings",0,"J Belanger",2021,"Personality and Social Psychology Bulletin","nyuscholars.nyu.edu","https://nyuscholars.nyu.edu/en/publications/lockdown-lives-inter-relationships-amongst-feelings-of-loneliness",NA,116,TRUE,NA,0,0,0,1,2,"Lockdown Lives: Inter-relationships amongst feelings of loneliness, social contacts and solidarity during the COVID-19 lockdown. — NYU Scholars Skip to main navigation Skip to …",NA,"https://scholar.google.com/scholar?q=related:Efj18cJcOTQJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"756",756,"MISSING_DOI_making diversity work for everybody the doubleedge","Making diversity work for everybody? The double-edged sword of all-inclusive diversity","making diversity work for everybody the doubleedge",4,"PA Small, B Major, C Kaiser",2022,"Personality and Social Psychology …","researchgate.net","https://www.researchgate.net/profile/Payton-Small/publication/353251842_Diversity_Initiatives_and_White_Americans'_Perceptions_of_Racial_Victimhood/links/6169b357b90c5126624659ba/Diversity-Initiatives-and-White-Americans-Perceptions-of-Racial-Victimhood.pdf","https://scholar.google.com/scholar?cites=11833840471101162202&as_sdt=2005&sciodt=0,5&hl=en",81,TRUE,NA,4,2,1,3,2,"Three experiments investigated how framing diversity as all-inclusive affects recognition of racial injustice. Among Whites, viewing a company mission statement that specifically …","https://www.researchgate.net/profile/Payton-Small/publication/353251842_Diversity_Initiatives_and_White_Americans'_Perceptions_of_Racial_Victimhood/links/6169b357b90c5126624659ba/Diversity-Initiatives-and-White-Americans-Perceptions-of-Racial-Victimhood.pdf","https://scholar.google.com/scholar?q=related:2kKgyDU_OqQJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"757",757,"MISSING_DOI_mark r leary","Mark R. Leary","mark r leary",0,"SCL BA, PB Kappa",2020,"Personality and Social Psychology Bulletin","sites.duke.edu","https://sites.duke.edu/leary/files/2021/06/Vita2021.pdf",NA,120,TRUE,NA,0,0,0,2,3,"Leary, MR, Tipsord, J., &Tate, EB (2008). Allo-inclusive identity: Incorporating the natural and social worlds into one's sense of self. In H. Wayment &J. Bauer (Eds.), Transcending …","https://sites.duke.edu/leary/files/2021/06/Vita2021.pdf","https://scholar.google.com/scholar?q=related:AppwbY46zqIJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
"758",758,"MISSING_DOI_metaanalytic evaluation of iat and selfreport meas","Meta-analytic evaluation of IAT and self-report measures in testing balanced identity theory","metaanalytic evaluation of iat and selfreport meas",2,"D Cvencek",2020,"Personality and Social Psychology Bulletin",NA,NA,"https://scholar.google.com/scholar?cites=13385891443969052451&as_sdt=2005&sciodt=0,5&hl=en",118,TRUE,NA,2,0.67,2,1,3,NA,NA,"https://scholar.google.com/scholar?q=related:I0-3x1g9xLkJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
"759",759,"MISSING_DOI_organizational mindsets shape corporate culture tr","Organizational mindsets shape corporate culture, trust, and commitment","organizational mindsets shape corporate culture tr",2,"EA Canning, MC Murphy, KT Emerson, JA Chatman…",2020,"… Social Psychology Bulletin",NA,NA,"https://scholar.google.com/scholar?cites=12506263118433289359&as_sdt=2005&sciodt=0,5&hl=en",119,TRUE,NA,2,0.67,0,5,3,NA,NA,"https://scholar.google.com/scholar?q=related:jwTJkQssj60J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
"760",760,"MISSING_DOI_propensity to follow rules mitigates corrupt colla","Propensity to follow rules mitigates corrupt collaboration and facilitates honesty within groups","propensity to follow rules mitigates corrupt colla",1,"J Gross, CKW De Dreu",2021,"Personality and Social Psychology Bulletin",NA,NA,"https://scholar.google.com/scholar?cites=5429283910004676142&as_sdt=2005&sciodt=0,5&hl=en",114,TRUE,NA,1,0.5,1,2,2,NA,NA,NA
"761",761,"MISSING_DOI_prosperous but fearing to fall the wealth paradox ","Prosperous but fearing to fall: The wealth paradox, collective angst, and opposition to immigration","prosperous but fearing to fall the wealth paradox ",2,"J Jetten, F Mols, N Steffens",2020,"Personality and Social Psychology Bulletin",NA,NA,"https://scholar.google.com/scholar?cites=17188060514273184819&as_sdt=2005&sciodt=0,5&hl=en",117,TRUE,NA,2,0.67,1,3,3,NA,NA,"https://scholar.google.com/scholar?q=related:M8wrs_hBiO4J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
"762",762,"MISSING_DOI_rand david g 2021 beliefs about covid19 in canada ","Rand David G (2021) Beliefs About COVID-19 in Canada, the United Kingdom, and the United States: A novel test of political polarization and motivated …","rand david g 2021 beliefs about covid19 in canada ",2,"P Gordon, MP Jonathon, B Bence",2021,"Personality and Social Psychology Bulletin",NA,NA,"https://scholar.google.com/scholar?cites=7699142146551916196&as_sdt=2005&sciodt=0,5&hl=en",113,TRUE,NA,2,1,1,3,2,NA,NA,"https://scholar.google.com/scholar?q=related:pCZ3kP3Y2GoJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
"763",763,"MISSING_DOI_rising to power or falling from grace cultural col","Rising to power or falling from grace: Cultural collectivism and tightness moderate responses to norm violators","rising to power or falling from grace cultural col",1,"E Stamkou, GA Van Kleef, AC Homan…",2019,"… Psychology Bulletin","Sage Publications, Inc.",NA,"https://scholar.google.com/scholar?cites=13650673955885684867&as_sdt=2005&sciodt=0,5&hl=en",120,TRUE,NA,1,0.25,0,4,4,NA,NA,"https://scholar.google.com/scholar?q=related:gxg-daPvcL0J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
"764",764,"MISSING_DOI_sosyal bilimlerde araştırma yöntemleri 6 baskı i̇s","Sosyal Bilimlerde Araştırma Yöntemleri, 6. Baskı, İstanbul: Beta Yayıncılık. Jamieson, JP, Harkins, SG &Williams, KD (2010). Need Threat Can Motivate …","sosyal bilimlerde araştırma yöntemleri 6 baskı i̇s",2,"AH İslamoğlu, Ü Alnıaçık",2019,"Personality and Social Psychology Bulletin",NA,NA,"https://scholar.google.com/scholar?cites=8314558555194317781&as_sdt=2005&sciodt=0,5&hl=en",123,TRUE,NA,2,0.5,1,2,4,NA,NA,"https://scholar.google.com/scholar?q=related:1duKGvQ-Y3MJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
"765",765,"MISSING_DOI_threat motivates malevolent creativity","Threat Motivates Malevolent Creativity","threat motivates malevolent creativity",2,"B Matthijs, R Marieke, K Severine, C Yujie…",2019,"… Social Psychology Bulletin",NA,NA,"https://scholar.google.com/scholar?cites=14460903115386930669&as_sdt=2005&sciodt=0,5&hl=en",117,TRUE,NA,2,0.5,0,5,4,NA,NA,"https://scholar.google.com/scholar?q=related:7UX6K8Ryr8gJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
"766",766,"MISSING_DOI_values and behavior taking a cross culture perpect","Values and behavior: Taking a cross culture perpective","values and behavior taking a cross culture perpect",11,"SH Schwartz",2017,"Personality and Social Psychology Bulletin",NA,NA,"https://scholar.google.com/scholar?cites=12162090830999914932&as_sdt=2005&sciodt=0,5&hl=en",118,TRUE,NA,11,1.83,11,1,6,NA,NA,"https://scholar.google.com/scholar?q=related:tAnJWyxtyKgJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"767",767,"MISSING_DOI_we look and feel better through system justifying ","We look (and feel) better through system justifying lenses': Evidence of the palliative function of ideology among the disadvantaged","we look and feel better through system justifying ",10,"J Bahamondes, CG Sibley, D Osborne",2019,"Personality and Social Psychology Bulletin",NA,NA,"https://scholar.google.com/scholar?cites=6252948155290298634&as_sdt=2005&sciodt=0,5&hl=en",114,TRUE,NA,10,2.5,3,3,4,NA,NA,"https://scholar.google.com/scholar?q=related:CikDuzfvxlYJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
"768",768,"MISSING_DOI_when doubleminority status may be beneficial obvio","When double-minority status may be beneficial: Obvious and ambiguous social categories interact in perceptions of leadership","when doubleminority status may be beneficial obvio",4,"JP Wilson, JD Remedios, NO Rule",2017,"Personality and Social Psychology Bulletin",NA,NA,"https://scholar.google.com/scholar?cites=11449332447269155505&as_sdt=2005&sciodt=0,5&hl=en",120,TRUE,NA,4,0.67,1,3,6,NA,NA,"https://scholar.google.com/scholar?q=related:sfLUGjMz5J4J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
"769",769,"MISSING_DOI_whose side are you on mistrust of asianwhite birac","Whose side are you on? Mistrust of Asian‐White biracials' allegiances leads Asian Americans to deny them group membership","whose side are you on mistrust of asianwhite birac",2,"JM Chen, NS Kteily, AK Ho",2018,"Personality and Social Psychology Bulletin, Early …",NA,NA,"https://scholar.google.com/scholar?cites=6742001327698010698&as_sdt=2005&sciodt=0,5&hl=en",123,TRUE,NA,2,0.4,1,3,5,NA,NA,"https://scholar.google.com/scholar?q=related:SuKmpHxmkF0J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
"770",770,"MISSING_DOI_東アジアにおける死の顕現化研究の現状と今後の展","東アジアにおける死の顕現化研究の現状と今後の展","東アジアにおける死の顕現化研究の現状と今後の展",0,"法卉, 釘原直樹",2018,"Personality and Social Psychology Bulletin","ir.library.osaka-u.ac.jp","https://ir.library.osaka-u.ac.jp/repo/ouka/all/70557/jjisp_18_189.pdf",NA,122,TRUE,NA,0,0,0,2,-Inf,"本稿では, 存在脅威管理理論に基づく死の顕現化研究, 特に, 東アジアを対象とした研究について概観を行った. 存在脅威管理理論によると, 人は自分の死が顕現化されるような操作を受けると …","https://ir.library.osaka-u.ac.jp/repo/ouka/all/70557/jjisp_18_189.pdf","https://scholar.google.com/scholar?q=related:6G--nJD6MWMJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
